Service,Gender,Installation or Command Location,Avg. Pop. (FY14),Sexual Assault Risk,Estimated Sexual Assaults,Installation- Specific Risk
Air Force,Men,Postal Area 2,1519,0.30%,5,0.00%
Air Force,Men,Postal Area 3,623,0.30%,2,0.00%
Air Force,Men,Postal Area 7,338,0.30%,1,0.00%
Air Force,Men,Postal Area 9,439,0.30%,1,0.00%
Air Force,Men,Presidio of Monterey,1233,0.40%,5,0.00%
Air Force,Men,RAF Croughton (UK),338,0.40%,1,0.00%
Air Force,Men,RAF Lakenheath (UK),3731,0.40%,16,0.00%
Air Force,Men,RAF Mildenhall (UK),2791,0.40%,12,0.00%
Air Force,Men,Ramstein (GR),6795,0.40%,26,0.00%
Air Force,Men,Randolph AFB,1659,0.30%,5,0.00%
Air Force,Men,Robins AFB,2787,0.40%,11,0.00%
Air Force,Men,Schriever AFB,1163,0.30%,4,-0.10%
Air Force,Men,Scott AFB,3531,0.30%,10,-0.10%
Air Force,Men,Seymour Johnson AFB,3848,0.40%,15,0.00%
Air Force,Men,Shaw AFB,3488,0.40%,12,0.00%
Air Force,Men,Sheppard AFB,3369,0.40%,13,0.00%
Air Force,Men,Spangdahlem AB (GR),2652,0.40%,11,0.00%
Air Force,Men,Tinker AFB,3853,0.40%,15,-0.10%
Air Force,Men,Travis AFB,4952,0.40%,19,0.00%
Air Force,Men,Tyndall AFB,2664,0.30%,9,0.00%
Air Force,Men,United States,2261,0.20%,4,-0.10%
Air Force,Men,USAF Academy,1350,0.50%,7,0.00%
Air Force,Men,Vance AFB,1055,0.50%,5,0.20%
Air Force,Men,Vandenberg AFB,2054,0.40%,8,0.00%
Air Force,Men,Whiteman AFB,3329,0.40%,14,0.00%
Air Force,Men,Wright-Patterson AFB,4207,0.30%,11,-0.10%
Air Force,Men,Yokota AB (JA),2396,0.40%,9,0.00%
USMC,Women,USMC Mobile 1st Marine,300,8.60%,26,-0.40%
USMC,Women,29 Palms MC Cmbt Ctr,492,10.10%,50,0.80%
USMC,Women,Afghanistan,308,8.40%,26,0.40%
USMC,Women,Beaufort MCAS,237,9.90%,24,2.70%
USMC,Women,Camp Lejeune MCB,2072,7.90%,163,0.10%
USMC,Women,Camp Pendleton,2246,7.10%,159,-0.80%
USMC,Women,Cherry Point MCAS,689,8.60%,59,0.30%
USMC,Women,MCAS Miramar,805,7.60%,61,-0.30%
USMC,Women,MCBH Kaneohe Bay,287,7.40%,21,-0.10%
USMC,Women,MCCDC Quantico VA,623,5.40%,34,-0.50%
USMC,Women,New River MCAS,454,9.40%,43,1.10%
USMC,Women,Okinawa (JA),511,8.00%,41,-0.60%
USMC,Women,Parris Island MCRD,778,7.70%,60,-0.10%
USMC,Women,Pensacola NAS,178,9.20%,16,-0.90%
USMC,Women,United States,536,7.60%,41,0.10%
USMC,Women,USMC Mobile 3rd MEF,158,6.30%,10,-1.90%
USMC,Women,USMC Mobile 3rd MLG,321,9.40%,30,-0.20%
USMC,Women,Yuma MCAS,309,11.50%,36,2.70%
USMC,Men,USMC Mobile 1st Marine,3011,0.70%,21,-0.10%
USMC,Men,29 Palms MC Cmbt Ctr,9136,1.30%,122,0.10%
USMC,Men,Afghanistan,5455,1.20%,66,0.20%
USMC,Men,Bahrain,624,1.20%,7,0.10%
USMC,Men,Beaufort MCAS,2345,1.10%,26,0.20%
USMC,Men,Camp H. M. Smith,378,0.30%,1,0.00%
USMC,Men,Camp Lejeune MCB,29307,1.20%,351,0.00%
USMC,Men,Camp Pendleton,30413,1.00%,306,-0.10%
USMC,Men,Cherry Point MCAS,6531,0.90%,56,0.00%
USMC,Men,Fort Leonard Wood,1271,0.80%,10,-0.20%
USMC,Men,Japan,4489,1.60%,71,0.30%
USMC,Men,Kuwait,412,1.10%,5,0.10%
USMC,Men,MCAS Iwakuni (JA),531,0.80%,4,0.10%
USMC,Men,MCAS Miramar,6375,0.80%,50,0.00%
USMC,Men,MCBH Kaneohe Bay,4526,1.00%,47,0.00%
USMC,Men,MCCDC Quantico VA,5478,0.50%,28,0.00%
USMC,Men,Missing,1245,1.30%,16,0.20%
USMC,Men,New River MCAS,5433,0.90%,47,0.00%
USMC,Men,Norfolk NB,982,1.10%,10,0.00%
USMC,Men,Okinawa (JA),4576,0.80%,35,-0.10%
USMC,Men,Parris Island MCRD,3268,1.00%,34,0.00%
USMC,Men,Pensacola NAS,2881,0.80%,22,-0.20%
USMC,Men,Pentagon,791,0.20%,2,0.00%
USMC,Men,Postal Area 2,651,0.60%,4,0.00%
USMC,Men,Postal Area 7,1072,0.50%,6,0.00%
USMC,Men,Postal Area 9,813,0.50%,4,0.00%
USMC,Men,Presidio of Monterey,530,0.50%,2,-0.10%
USMC,Men,San Diego MC Recruit Depot,3329,1.20%,39,0.00%
USMC,Men,South Korea,214,1.30%,3,0.20%
USMC,Men,Spain,534,1.10%,6,0.10%
USMC,Men,United States,7388,0.90%,64,-0.10%
USMC,Men,USMC Mobile 3rd Mar Div,1408,1.10%,16,0.10%
USMC,Men,USMC Mobile 3rd MEF,1630,0.60%,10,-0.10%
USMC,Men,USMC Mobile 3rd MLG,2605,0.90%,23,0.00%
USMC,Men,Yuma MCAS,3169,0.90%,29,0.10%
Army,Women,21st Theater Support,1019,5.60%,57,-0.90%
Army,Women,Army Sustainment Command,107,2.30%,2,-0.70%
Army,Women,Contracting Command,108,1.90%,2,-0.40%
Army,Women,DoD Agencies (DoD),663,2.30%,16,-0.70%
Army,Women,FOAS Resourced by,557,3.60%,20,-0.70%
Army,Women,FORSCOM Ground Forces,236,1.80%,4,-0.70%
Army,Women,Joint Activities (Less NATO),563,2.00%,11,-0.80%
Army,Women,Military Entrance Processing,120,2.40%,3,-0.70%
Army,Women,Missing MCC (ZZZ),1311,5.80%,77,-1.80%
Army,Women,"Office, Chief of Staff, U.S. Army",175,1.30%,2,-0.20%
Army,Women,Second Army,968,3.80%,37,-1.40%
Army,Women,Supreme HQ Allied Powers Eur,168,2.20%,4,-0.80%
Army,Women,U.S. Army Medical Command,10280,3.60%,368,-0.50%
Army,Women,U.S. Military Academy (USMA),169,4.70%,8,0.10%
Army,Women,Unknown MCC AFL,729,4.40%,32,-2.20%
Army,Women,U.S. Army Central (USARCENT),518,2.60%,14,-0.90%
Army,Women,U.S. Army Criminal,273,3.90%,11,-1.10%
Army,Women,U.S. Army IMCOM,412,3.10%,13,-1.40%
Army,Women,U.S. Army Intelligence and Sec,2067,4.00%,83,-2.00%
Army,Women,U.S. Army Materiel Command,214,2.00%,4,-0.80%
Army,Women,U.S. Army Military District of,255,3.50%,9,-1.20%
Army,Women,U.S. Army Pacific,6125,5.60%,342,-0.70%
Army,Women,U.S. Army Recruiting Command,966,2.10%,21,-1.00%
Army,Women,U.S. Army South,149,3.70%,5,-0.70%
Army,Women,U.S. Army Special Operations,1133,5.20%,59,-0.70%
Army,Women,TRADOC,8321,5.10%,424,-1.20%
Army,Women,"U.S. Army, Europe and Seventh",1318,6.50%,85,-0.50%
Army,Women,U.S. Forces Command,29498,7.70%,2262,1.20%
Army,Men,21st Theater Support,4599,0.90%,43,-0.10%
Army,Men,7th Army Training Command,1384,1.10%,15,0.00%
Army,Men,Army Acquisition Exec Supp,508,0.20%,1,0.00%
Army,Men,Army Sustainment Command,442,0.30%,1,0.00%
Army,Men,Army War College,378,0.20%,1,0.00%
Army,Men,Contracting Command,354,0.30%,1,0.00%
Army,Men,Directed Military Overstreng,320,0.30%,1,0.00%
Army,Men,DoD Agencies (DoD),3432,0.40%,13,-0.10%
Army,Men,FOAS Resourced by,2148,0.50%,11,-0.10%
Army,Men,FORSCOM Ground Forces,2649,0.30%,8,-0.10%
Army,Men,Joint Activities (Less NATO),3391,0.30%,10,-0.10%
Army,Men,Joint Special Operations Cmd,1107,0.30%,3,-0.10%
Army,Men,Military Entrance Processing,500,0.40%,2,-0.10%
Army,Men,Missing MCC (ZZZ),6099,1.00%,62,-0.20%
Army,Men,"Office, Chief of Staff, US Army",868,0.20%,2,0.00%
Army,Men,"Office, Secretary of the Army",211,0.20%,0,-0.10%
Army,Men,Second Army,5013,0.70%,36,-0.20%
Army,Men,SETAF/US Army Africa,315,0.30%,1,0.00%
Army,Men,Supreme HQ Allied Powers Eur,791,0.40%,3,-0.10%
Army,Men,U.S. Army Medical Command,21036,0.70%,152,-0.10%
Army,Men,U.S. Military Academy (USMA),1032,0.70%,8,0.10%
Army,Men,Unknown MCC AFL,4261,0.80%,34,-0.30%
Army,Men,US Army Central (USARCENT),1866,0.50%,9,-0.10%
Army,Men,US Army Central (USARCENT),770,0.30%,2,-0.10%
Army,Men,US Army Central Command,539,0.60%,3,-0.10%
Army,Men,US Army Criminal,1244,0.60%,7,0.00%
Army,Men,US Army IMCOM,1897,0.60%,11,-0.20%
Army,Men,US Army Intelligence and Sec,8520,0.70%,58,-0.20%
Army,Men,US Army Materiel Command,607,0.40%,2,-0.10%
Army,Men,US Army Military District of,2493,1.50%,36,0.00%
Army,Men,US Army North (USARNORTH),445,0.40%,2,-0.10%
Army,Men,US Army Pacific,41183,1.20%,493,0.00%
Army,Men,US Army Recruiting Command,9690,0.40%,41,-0.10%
Army,Men,US Army Security Assistance,251,0.30%,1,0.00%
Army,Men,US Army South,893,0.60%,5,-0.10%
Army,Men,US Army Special Operations,28274,1.00%,276,-0.10%
Army,Men,US Army Test and Evaluation,450,0.30%,1,0.00%
Army,Men,TRADOC,49665,1.10%,532,-0.10%
Army,Men,"US Army, Europe and Seventh",12807,1.40%,175,0.10%
Army,Men,US Forces Command,208741,1.40%,2970,0.10%
Army,Men,USA Space and Missile Defense,1073,0.90%,9,0.00%
Navy,Women,BUMED,8820,3.50%,313,-0.90%
Navy,Women,BUPERS,1321,3.10%,40,-0.80%
Navy,Women,CNI,3863,5.40%,208,-1.60%
Navy,Women,CNO,720,3.00%,22,-0.70%
Navy,Women,Central Operating Activity,245,2.50%,6,-0.60%
Navy,Women,NAVAIR,153,3.50%,5,-1.30%
Navy,Women,NAVFAC,144,3.30%,5,-1.20%
Navy,Women,NAVSUP,324,4.00%,13,-1.20%
Navy,Women,Navy Secretariat and Staff,188,2.70%,5,-0.50%
Navy,Women,NETC,6141,7.10%,437,-2.20%
Navy,Women,Office of Naval Intelligence,209,4.30%,9,-1.40%
Navy,Women,SPECWAR,508,3.00%,15,-1.20%
Navy,Women,Unknown MCC N28,197,2.50%,5,-0.90%
Navy,Women,US Fleet Forces Command,14839,7.90%,1176,0.40%
Navy,Women,US Pacific Fleet,15216,9.50%,1442,1.80%
Navy,Women,USMC,797,3.80%,30,0.00%
Navy,Women,USNR,176,4.70%,8,-0.20%
Navy,Men,BUMED,20997,0.90%,185,-0.20%
Navy,Men,BUPERS,6948,0.60%,42,-0.20%
Navy,Men,CNI,11942,1.10%,128,-0.30%
Navy,Men,CNO,1874,0.40%,8,-0.10%
Navy,Men,Central Operating Activity,1822,0.50%,10,-0.10%
Navy,Men,DIA,490,0.50%,3,-0.20%
Navy,Men,DMA,411,0.70%,3,0.00%
Navy,Men,NAVAIR,1392,0.40%,6,-0.20%
Navy,Men,NAVFAC,1153,0.50%,6,-0.30%
Navy,Men,NAVSEA,863,0.50%,4,-0.10%
Navy,Men,NAVSUP,1271,0.60%,8,-0.20%
Navy,Men,Navy Secretariat and Staff,667,0.50%,3,-0.20%
Navy,Men,NETC,32816,1.40%,470,-0.70%
Navy,Men,Office of Naval Intelligence,1131,0.70%,7,-0.20%
Navy,Men,SPAWAR,491,0.40%,2,-0.10%
Navy,Men,SPECWAR,8428,0.80%,63,-0.40%
Navy,Men,Strategic Systems Program,1247,1.00%,12,-0.90%
Navy,Men,Unknown MCC N28,1308,0.40%,5,-0.20%
Navy,Men,US Fleet Forces Command,69550,1.80%,1241,0.20%
Navy,Men,US Pacific Fleet,83762,2.00%,1687,0.30%
Navy,Men,USMC,6468,1.30%,82,-0.10%
Navy,Men,USNR,907,0.80%,7,-0.30%
Air Force,Women,AF District of Washington,1049,2.40%,25,-0.30%
Air Force,Women,AF Elements,471,2.20%,10,0.20%
Air Force,Women,AF Elements���NATO,139,1.90%,3,0.00%
Air Force,Women,AF ISR Agency,3130,3.50%,110,0.10%
Air Force,Women,AF Legal OP Agency,212,1.90%,4,0.00%
Air Force,Women,AF Materiel Cmd,4344,2.60%,112,-0.30%
Air Force,Women,AF Off Spec Investigations,347,2.60%,9,-0.10%
Air Force,Women,AF Personnel Ctr,327,1.50%,5,-0.30%
Air Force,Women,AF Spec Opns Cmd,2043,3.60%,74,0.40%
Air Force,Women,AFELM DIA,175,1.90%,3,0.00%
Air Force,Women,AFELM OSD,139,2.30%,3,0.00%
Air Force,Women,AFELM US Central Cmd,106,1.80%,2,0.00%
Air Force,Women,AFELM US Pacific Command,141,1.70%,2,-0.20%
Air Force,Women,AFELM USSTRATCOM,167,1.60%,3,-0.40%
Air Force,Women,Air Combat Cmd,11776,2.90%,343,-0.30%
Air Force,Women,Air Education and Training,9696,3.20%,315,0.30%
Air Force,Women,Air Mobility Cmd,7501,3.10%,233,0.00%
Air Force,Women,Global Strike Command,3077,3.60%,112,0.00%
Air Force,Women,HQ AF Weather Agency,225,3.10%,7,-0.60%
Air Force,Women,HQ Air Force Space Command,2402,2.70%,66,-0.20%
Air Force,Women,HQ USAF and Support,457,1.30%,6,-0.20%
Air Force,Women,Pacific Air Forces,5029,3.20%,161,0.20%
Air Force,Women,US Air Force Academy,486,2.80%,14,-0.20%
Air Force,Women,US Air Forces in Europe,4551,3.30%,150,0.30%
Air Force,Men,AF District of Washington,2495,0.40%,11,0.00%
Air Force,Men,AF Elements,1693,0.20%,4,0.00%
Air Force,Men,AF Elements���NATO,769,0.30%,2,0.00%
Air Force,Men,AF ISR Agency,10556,0.40%,39,0.00%
Air Force,Men,AF Legal OP Agency,320,0.30%,1,-0.10%
Air Force,Men,AF Materiel Cmd,13567,0.30%,44,0.00%
Air Force,Men,AF Off Spec Investigations,1214,0.30%,3,0.00%
Air Force,Men,AF OP Test and Eval Ctr,275,0.20%,1,0.00%
Air Force,Men,AF Personnel Ctr,534,0.20%,1,-0.10%
Air Force,Men,AF Spec Opns Cmd,12628,0.40%,47,0.00%
Air Force,Men,AF TECH APPL Center,430,0.30%,1,0.00%
Air Force,Men,AFELM DIA,723,0.20%,2,0.00%
Air Force,Men,AFELM DISA,379,0.30%,1,0.00%
Air Force,Men,AFELM JCS,329,0.20%,1,-0.10%
Air Force,Men,AFELM OSD,466,0.30%,1,0.00%
Air Force,Men,AFELM US Pacific Command,439,0.20%,1,0.00%
Air Force,Men,AFELM USEUCOM,320,0.20%,1,-0.10%
Air Force,Men,AFELM USSTRATCOM,710,0.20%,1,-0.10%
Air Force,Men,AFELM USTRANSCOM,416,0.20%,1,-0.10%
Air Force,Men,Air Combat Cmd,56986,0.40%,213,0.00%
Air Force,Men,Air Education and Training,36008,0.40%,160,0.10%
Air Force,Men,Air Mobility Cmd,37124,0.40%,143,0.00%
Air Force,Men,Global Strike Command,16755,0.50%,77,0.00%
Air Force,Men,HQ AF Weather Agency,932,0.30%,3,-0.10%
Air Force,Men,HQ Air Force Space Command,10340,0.30%,33,0.00%
Air Force,Men,HQ USAF and Support,1381,0.20%,2,-0.10%
Air Force,Men,Pacific Air Forces,23705,0.40%,92,0.00%
Air Force,Men,US Air Force Academy,1273,0.50%,6,0.00%
Air Force,Men,US Air Forces in Europe,19225,0.40%,81,0.00%
USMC,Women,MCC No. 007,405,4.30%,18,-1.00%
USMC,Women,MCC No. 011,164,4.30%,7,0.30%
USMC,Women,MCC No. 012,206,6.90%,14,-0.50%
USMC,Women,MCC No. 013,456,7.10%,32,0.40%
USMC,Women,MCC No. 014,318,6.90%,22,0.30%
USMC,Women,MCC No. 015,167,6.80%,11,0.30%
USMC,Women,MCC No. 016,772,7.70%,60,0.00%
USMC,Women,MCC No. 022,139,9.30%,13,1.30%
USMC,Women,MCC No. 023,136,4.50%,6,-2.80%
USMC,Women,MCC No. 082,254,4.40%,11,-0.10%
USMC,Women,MCC No. 092,184,7.20%,13,-0.10%
USMC,Women,MCC No. 121,186,8.60%,16,1.00%
USMC,Women,MCC No. 122,178,8.20%,15,0.50%
USMC,Women,MCC No. 142,1225,9.00%,110,0.90%
USMC,Women,MCC No. 143,1427,9.40%,134,0.90%
USMC,Women,MCC No. 145,594,8.60%,51,-0.30%
USMC,Women,MCC No. 151,773,8.00%,62,-0.50%
USMC,Women,MCC No. 169,1002,6.90%,70,-1.20%
USMC,Women,MCC No. 1C0,539,5.60%,30,-1.80%
USMC,Women,MCC No. 1C1,282,6.80%,19,-1.90%
USMC,Women,MCC No. 1C2,457,9.40%,43,-0.20%
USMC,Women,MCC No. 1F1,209,7.70%,16,0.30%
USMC,Women,MCC No. 1F2,206,7.80%,16,-0.10%
USMC,Women,MCC No. G78,177,9.10%,16,-0.90%
USMC,Women,MCC No. J15,322,8.50%,27,0.40%
USMC,Women,MCC No. K18,152,14.20%,22,1.20%
USMC,Women,MCC No. ZZZ,371,7.90%,29,-0.10%
USMC,Men,MCC No. 007,3529,0.40%,15,-0.10%
USMC,Men,MCC No. 011,1415,0.30%,4,0.00%
USMC,Men,MCC No. 012,1940,0.80%,15,0.00%
USMC,Men,MCC No. 013,3499,0.80%,28,0.00%
USMC,Men,MCC No. 014,4644,1.00%,47,-0.10%
USMC,Men,MCC No. 015,1568,0.70%,11,-0.10%
USMC,Men,MCC No. 016,3234,1.10%,34,0.00%
USMC,Men,MCC No. 017,3362,1.20%,39,0.00%
USMC,Men,MCC No. 022,1302,0.90%,11,-0.10%
USMC,Men,MCC No. 023,784,0.60%,4,-0.30%
USMC,Men,MCC No. 063,301,0.50%,2,0.00%
USMC,Men,MCC No. 082,4055,0.50%,22,0.00%
USMC,Men,MCC No. 091,643,0.90%,6,0.00%
USMC,Men,MCC No. 092,1184,0.70%,9,0.00%
USMC,Men,MCC No. 094,2036,0.80%,16,0.20%
USMC,Men,MCC No. 110,493,0.40%,2,0.00%
USMC,Men,MCC No. 111,592,0.50%,3,0.10%
USMC,Men,MCC No. 121,18360,1.60%,287,0.20%
USMC,Men,MCC No. 122,15386,1.60%,248,0.20%
USMC,Men,MCC No. 124,5124,1.40%,69,0.10%
USMC,Men,MCC No. 142,13904,0.90%,126,0.10%
USMC,Men,MCC No. 143,13443,0.90%,118,0.00%
USMC,Men,MCC No. 145,5933,0.70%,43,-0.10%
USMC,Men,MCC No. 151,5962,0.90%,55,-0.10%
USMC,Men,MCC No. 169,5848,0.70%,43,-0.20%
USMC,Men,MCC No. 1A5,638,0.80%,5,0.00%
USMC,Men,MCC No. 1C0,5931,0.60%,38,-0.20%
USMC,Men,MCC No. 1C1,2830,0.60%,17,-0.10%
USMC,Men,MCC No. 1C2,3719,0.90%,33,0.00%
USMC,Men,MCC No. 1F1,3841,1.00%,37,0.00%
USMC,Men,MCC No. 1F2,1661,0.70%,12,-0.10%
USMC,Men,MCC No. 233,1054,1.30%,14,0.20%
USMC,Men,MCC No. G78,2934,0.80%,22,-0.20%
USMC,Men,MCC No. J15,1815,1.10%,21,-0.10%
USMC,Men,MCC No. K18,1601,1.20%,19,-0.20%
USMC,Men,MCC No. K46,1347,0.80%,10,-0.10%
USMC,Men,MCC No. S8F,1309,0.70%,9,0.00%
USMC,Men,MCC No. SA5,1186,0.40%,5,0.00%
USMC,Men,MCC No. SMA,1344,0.70%,10,0.00%
USMC,Men,MCC No. SR2,533,0.50%,3,0.00%
USMC,Men,MCC No. TMG,983,0.50%,5,0.00%
USMC,Men,MCC No. ZZZ,5052,1.00%,50,-0.10%